15-10-7 下午5:03
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	85058	357064	3054896	3357899	  1870	
剩余：  	71733	336795	2932578	3228446	  1870	
独特：  	42566	270601	2279580	2537858	  1870	
剩余独特：	42381	268752	2268528	2525019	  1870	


单文件统计：

文件名                                                       	 总片段	剩余片段	独特片段	剩余独特片段	 总计词汇	 剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
audiocd/useaudiocd.html                                   	  23	  15	   9	     9	   69	   58	   52	    52	     475	      411	      328	        328	     522	      455	      372	        372	
billboard/addbillboard.html                               	  21	  15	  14	    14	  106	   98	   97	    97	     729	      677	      667	        667	     816	      762	      752	        752	
billboard/BillboardGroupCommonDirection.html              	  22	  14	  10	    10	   58	   47	   41	    41	     564	      500	      445	        445	     603	      536	      479	        479	
billboard/BillboardGroupCommonUpVector.html               	  22	  14	   7	     7	   59	   48	   35	    35	     563	      499	      365	        365	     603	      536	      396	        396	
billboard/billboardgroupid.html                           	  18	  12	   8	     8	   63	   55	   47	    47	     587	      535	      454	        454	     636	      582	      497	        497	
billboard/billboardgroupmaterial.html                     	  23	  16	  13	    13	   97	   88	   85	    85	     706	      649	      603	        603	     782	      723	      677	        677	
billboard/billboardgroupx.html                            	  22	  16	  13	    13	   96	   88	   85	    85	     691	      639	      587	        587	     770	      716	      664	        664	
billboard/billboardgroupy.html                            	  22	  16	   9	     9	   96	   88	   53	    53	     677	      625	      430	        430	     756	      702	      479	        479	
billboard/billboardgroupz.html                            	  22	  16	   9	     9	   96	   88	   53	    53	     677	      625	      430	        430	     756	      702	      479	        479	
billboard/billboardheight.html                            	  20	  14	  11	    11	   76	   68	   65	    65	     549	      497	      452	        452	     609	      555	      510	        510	
billboard/billboardlocate.html                            	  24	  17	  11	    11	   96	   87	   70	    70	     660	      603	      489	        489	     735	      676	      551	        551	
billboard/billboardwidth.html                             	  20	  14	   9	     9	   70	   62	   48	    48	     511	      459	      350	        350	     565	      511	      393	        393	
billboard/billboardx.html                                 	  19	  13	   7	     7	   60	   52	   34	    34	     456	      404	      278	        278	     501	      447	      309	        309	
billboard/billboardy.html                                 	  19	  13	   6	     6	   60	   52	   17	    17	     448	      396	      198	        198	     493	      439	      213	        213	
billboard/billboardz.html                                 	  19	  13	   6	     6	   60	   52	   17	    17	     458	      406	      208	        208	     503	      449	      223	        223	
billboard/clearbillboards.html                            	  17	  10	   7	     7	   36	   27	   24	    24	     360	      303	      263	        263	     382	      323	      283	        283	
billboard/countbillboards.html                            	  17	  11	   6	     6	   48	   40	   31	    31	     433	      381	      288	        288	     468	      414	      317	        317	
billboard/createbillboardgroup.html                       	  58	  51	  36	    36	  421	  411	  356	   356	    2993	     2934	     2425	       2425	    3357	     3295	     2749	       2749	
billboard/freebillboardgroup.html                         	  21	  13	  10	    10	   73	   63	   60	    60	     607	      543	      493	        493	     662	      596	      546	        546	
billboard/hidebillboardgroup.html                         	  21	  14	  10	    10	   63	   54	   50	    50	     529	      472	      419	        419	     575	      516	      463	        463	
billboard/index.html                                      	  70	  65	  38	    38	  139	  131	  103	   103	    1993	     1943	     1408	       1408	    2061	     2007	     1471	       1471	
billboard/isbillboardgroup.html                           	  20	  13	   8	     8	   76	   67	   58	    58	     556	      497	      408	        408	     616	      555	      462	        462	
billboard/movebillboard.html                              	  24	  17	  10	    10	   99	   90	   81	    81	     692	      635	      531	        531	     770	      711	      605	        605	
billboard/movebillboardgroup.html                         	  28	  21	  14	    14	  118	  109	   92	    92	     830	      773	      660	        660	     926	      867	      744	        744	
billboard/removebillboard.html                            	  19	  12	   7	     7	   43	   34	   29	    29	     433	      376	      298	        298	     460	      401	      323	        323	
billboard/resizebillboard.html                            	  22	  15	   8	     8	   97	   88	   73	    73	     710	      653	      509	        509	     788	      729	      577	        577	
billboard/rotatebillboardgroup.html                       	  23	  16	  10	    10	   85	   76	   60	    60	     605	      548	      454	        454	     669	      610	      506	        506	
camera/camerabackcolor.html                               	  21	  14	  11	    11	   62	   53	   49	    49	     433	      376	      340	        340	     474	      415	      379	        379	
camera/CameraDirection.html                               	  20	  13	   9	     9	   61	   52	   43	    43	     446	      389	      352	        352	     490	      431	      389	        389	
camera/CameraDirectionX.html                              	  23	  17	  10	    10	   95	   87	   62	    62	     650	      598	      462	        462	     727	      673	      519	        519	
camera/CameraDirectionY.html                              	  24	  18	  10	    10	   95	   87	   54	    54	     653	      601	      429	        429	     730	      676	      479	        479	
camera/CameraDirectionZ.html                              	  23	  17	   9	     9	   95	   87	   54	    54	     638	      586	      414	        414	     715	      661	      464	        464	
camera/CameraFixedYawAxis.html                            	  31	  24	  18	    18	  189	  180	  153	   153	    1034	      977	      845	        845	    1196	     1137	      984	        984	
camera/CameraFollow.html                                  	  53	  45	  39	    39	  248	  237	  214	   214	    1565	     1501	     1402	       1402	    1805	     1738	     1622	       1622	
camera/camerafov.html                                     	  22	  15	   9	     9	   86	   77	   68	    68	     558	      501	      420	        420	     625	      566	      482	        482	
camera/cameraid.html                                      	  13	   9	   7	     7	   42	   37	   35	    35	     344	      313	      286	        286	     377	      345	      318	        318	
camera/cameralookat.html                                  	  19	  12	   7	     7	   51	   42	   32	    32	     345	      288	      238	        238	     380	      321	      266	        266	
camera/camerapitch.html                                   	  29	  22	  15	    15	  112	  102	   84	    84	     780	      721	      611	        611	     869	      807	      686	        686	
camera/cameraprojectionmode.html                          	  22	  14	  10	    10	   70	   60	   53	    53	     576	      515	      467	        467	     628	      565	      514	        514	
camera/cameraprojectionx.html                             	  14	  10	   8	     8	   58	   53	   51	    51	     423	      392	      357	        357	     471	      439	      404	        404	
camera/cameraprojectiony.html                             	  14	  10	   6	     6	   58	   53	   27	    27	     405	      374	      248	        248	     453	      421	      273	        273	
camera/camerarange.html                                   	  21	  14	  10	    10	   59	   50	   43	    43	     438	      381	      327	        327	     479	      420	      363	        363	
camera/camerarendermode.html                              	  25	  18	  11	    11	  116	  107	   90	    90	     816	      759	      643	        643	     916	      857	      731	        731	
camera/cameraroll.html                                    	  29	  22	  11	    11	  112	  102	   72	    72	     774	      715	      508	        508	     863	      801	      575	        575	
camera/CameraViewHeight.html                              	  17	  11	   6	     6	   49	   41	   22	    22	     384	      332	      231	        231	     420	      366	      251	        251	
camera/CameraViewWidth.html                               	  17	  11	   6	     6	   49	   41	   22	    22	     383	      331	      225	        225	     419	      365	      245	        245	
camera/CameraViewX.html                                   	  17	  11	   6	     6	   51	   43	   23	    23	     381	      329	      218	        218	     419	      365	      239	        239	
camera/CameraViewY.html                                   	  17	  11	   6	     6	   51	   43	   23	    23	     365	      313	      206	        206	     403	      349	      227	        227	
camera/camerax.html                                       	  27	  20	  12	    12	   94	   84	   59	    59	     649	      590	      459	        459	     721	      659	      511	        511	
camera/cameray.html                                       	  27	  20	   9	     9	   94	   84	   56	    56	     645	      586	      418	        418	     717	      655	      470	        470	
camera/camerayaw.html                                     	  29	  22	  10	    10	  112	  102	   71	    71	     732	      673	      462	        462	     821	      759	      529	        529	
camera/cameraz.html                                       	  27	  20	   9	     9	   93	   83	   55	    55	     652	      593	      420	        420	     723	      661	      471	        471	
camera/createcamera.html                                  	  65	  57	  40	    40	  612	  601	  557	   557	    3414	     3348	     3008	       3008	    3975	     3906	     3537	       3537	
camera/freecamera.html                                    	  24	  15	   9	     9	   85	   73	   67	    67	     581	      510	      433	        433	     645	      571	      494	        494	
camera/index.html                                         	  79	  74	  41	    41	  162	  154	  118	   118	    2039	     1989	     1397	       1397	    2120	     2066	     1473	       1473	
camera/iscamera.html                                      	  17	  13	   8	     8	   70	   65	   62	    62	     441	      410	      360	        360	     500	      468	      418	        418	
camera/movecamera.html                                    	  31	  23	  10	    10	   98	   87	   39	    39	     698	      634	      304	        304	     771	      704	      337	        337	
camera/rotatecamera.html                                  	  24	  17	   8	     8	   86	   77	   55	    55	     575	      518	      358	        358	     639	      580	      407	        407	
camera/switchcamera.html                                  	  21	  13	   8	     8	   39	   28	   23	    23	     335	      271	      206	        206	     354	      287	      222	        222	
cipher/addcipherbuffer.html                               	  31	  23	  20	    20	  100	   89	   86	    86	     757	      693	      649	        649	     829	      762	      718	        718	
cipher/aesdecoder.html                                    	  49	  41	  31	    31	  268	  257	  246	   246	    1612	     1546	     1426	       1426	    1832	     1763	     1642	       1642	
cipher/aesencoder.html                                    	  88	  80	  47	    47	  550	  539	  365	   365	    4030	     3964	     2807	       2807	    4483	     4414	     3114	       3114	
cipher/base64decoder.html                                 	  39	  31	  25	    25	  140	  129	  125	   125	    1149	     1083	     1007	       1007	    1253	     1184	     1108	       1108	
cipher/base64encoder.html                                 	  45	  37	  17	    17	  229	  218	  167	   167	    1605	     1539	      989	        989	    1804	     1735	     1155	       1155	
cipher/closecryptrandom.html                              	  22	  13	  10	    10	   45	   33	   30	    30	     530	      461	      415	        415	     557	      485	      439	        439	
cipher/crc32filefingerprint.html                          	  30	  22	  18	    18	  136	  125	  121	   121	     973	      907	      837	        837	    1084	     1015	      945	        945	
cipher/crc32fingerprint.html                              	  43	  34	  29	    29	  243	  231	  211	   211	    1790	     1717	     1584	       1584	    2020	     1944	     1796	       1796	
cipher/cryptrandom.html                                   	  38	  30	  17	    17	  172	  161	  151	   151	    1317	     1251	     1060	       1060	    1457	     1388	     1197	       1197	
cipher/cryptrandomdata.html                               	  44	  35	  23	    23	  147	  135	  114	   114	    1407	     1334	     1093	       1093	    1524	     1448	     1197	       1197	
cipher/desfingerprint.html                                	  34	  25	  20	    20	  167	  155	  150	   150	    1223	     1150	     1062	       1062	    1355	     1279	     1191	       1191	
cipher/examinemd5fingerprint.html                         	  46	  37	  23	    23	  214	  202	  168	   168	    2003	     1930	     1551	       1551	    2257	     2181	     1779	       1779	
cipher/examinesha1fingerprint.html                        	  46	  37	  14	    14	  215	  203	  131	   131	    2023	     1950	     1213	       1213	    2274	     2198	     1389	       1389	
cipher/finishcipher.html                                  	  24	  15	   8	     8	   71	   59	   52	    52	     628	      557	      433	        433	     678	      604	      480	        480	
cipher/finishfingerprint.html                             	  33	  25	  12	    12	  113	  102	   91	    91	    1128	     1062	      807	        807	    1214	     1145	      890	        890	
cipher/index.html                                         	  59	  54	  29	    29	  117	  109	   82	    82	    1570	     1520	     1018	       1018	    1628	     1574	     1071	       1071	
cipher/isfingerprint.html                                 	  25	  17	   8	     8	   71	   60	   41	    41	     732	      666	      443	        443	     782	      713	      480	        480	
cipher/md5filefingerprint.html                            	  31	  23	   9	     9	  121	  110	   63	    63	     983	      917	      551	        551	    1079	     1010	      611	        611	
cipher/md5fingerprint.html                                	  44	  36	  24	    24	  237	  226	  211	   211	    1800	     1734	     1546	       1546	    1999	     1930	     1737	       1737	
cipher/nextfingerprint.html                               	  33	  24	  11	    11	  122	  110	   97	    97	    1077	     1006	      753	        753	    1169	     1095	      842	        842	
cipher/opencryptrandom.html                               	  33	  24	  12	    12	  134	  122	  112	   112	    1098	     1027	      835	        835	    1205	     1131	      939	        939	
cipher/sha1filefingerprint.html                           	  31	  23	   9	     9	  122	  111	   65	    65	     996	      930	      568	        568	    1093	     1024	      630	        630	
cipher/sha1fingerprint.html                               	  47	  39	  17	    17	  258	  247	  189	   189	    1905	     1839	     1341	       1341	    2124	     2055	     1514	       1514	
cipher/startaescipher.html                                	  54	  45	  18	    18	  280	  268	  145	   145	    1920	     1850	     1046	       1046	    2143	     2070	     1172	       1172	
clipboard/clearclipboard.html                             	  20	  11	  10	    10	   47	   35	   34	    34	     440	      371	      361	        361	     469	      397	      387	        387	
clipboard/getclipboardimage.html                          	  32	  24	  18	    18	  124	  113	   92	    92	     917	      851	      688	        688	    1009	      940	      763	        763	
clipboard/getclipboardtext.html                           	  20	  12	   6	     6	   59	   48	   42	    42	     494	      430	      317	        317	     538	      471	      358	        358	
clipboard/index.html                                      	  25	  20	  13	    13	  117	  109	  100	   100	     873	      823	      679	        679	     965	      911	      766	        766	
clipboard/setclipboardimage.html                          	  27	  18	  12	    12	  104	   92	   86	    86	     905	      834	      736	        736	     999	      925	      827	        827	
clipboard/setclipboardtext.html                           	  21	  13	   8	     8	   50	   39	   34	    34	     447	      383	      305	        305	     477	      410	      332	        332	
console/clearconsole.html                                 	  28	  15	  16	    12	   72	   30	   57	    27	     750	      450	      623	        396	     810	      479	      680	        425	
console/closeconsole.html                                 	  27	  12	  14	     9	   86	   16	   70	    13	     793	      245	      674	        202	     874	      250	      752	        207	
console/consolecolor.html                                 	  51	  33	  39	    29	  166	   96	  151	    92	    1316	      935	     1187	        874	    1475	     1033	     1343	        972	
console/consolecursor.html                                	  39	  20	  20	    10	  173	   72	  150	    61	    1290	      715	     1010	        510	    1453	      790	     1165	        580	
console/consoleerror.html                                 	  24	  12	  14	    10	   65	   16	   52	    14	     556	      228	      464	        200	     598	      229	      503	        201	
console/consolelocate.html                                	  32	  18	  14	     9	  114	   50	   90	    38	    1009	      619	      743	        428	    1112	      668	      838	        472	
console/consoletitle.html                                 	  27	  15	  10	     6	  109	   31	   91	    24	     844	      392	      630	        246	     938	      416	      721	        270	
console/enablegraphicalconsole.html                       	  33	  24	  11	    11	  171	  159	  148	   148	    1274	     1199	     1016	       1016	    1426	     1348	     1165	       1165	
console/index.html                                        	  58	  47	  32	    26	  210	   92	  185	    75	    1713	     1099	     1383	        819	    1871	     1149	     1536	        868	
console/inkey.html                                        	  42	  32	  22	    22	  209	  196	  188	   188	    1587	     1509	     1366	       1366	    1799	     1718	     1575	       1575	
console/input.html                                        	  37	  27	  15	    15	  197	  184	  176	   176	    1326	     1248	     1101	       1101	    1508	     1427	     1280	       1280	
console/openconsole.html                                  	  40	  31	  18	    18	  214	  202	  192	   192	    1415	     1342	     1161	       1161	    1598	     1522	     1341	       1341	
console/print.html                                        	  41	  31	  15	    15	  238	  225	  213	   213	    1555	     1477	     1257	       1257	    1778	     1697	     1477	       1477	
console/printn.html                                       	  43	  33	  12	    12	  253	  240	  129	   129	    1572	     1494	      791	        791	    1800	     1719	      923	        923	
